Number,Name,Rank,Story
1,SUKHDEV KHUIXAR,Lieutenant Colonel,"a Field Regiment volunteered to lead a group of the Medium The Regiment of Artillery. (Posthumous) Regiment to the gun position to recover the guns and re- organize the regiment. Unmindful of the heavy and accurate On the 8th December, 1971, when the enemy started enemy shelling and air raids, he pressed forward and reached shelling the sun position of 183 Light Rer, ment. Lieutenant the Gun Area. In this process, he was hit by an enemy Colonel Sukhdev Khullar rushed to the gui position to ins- rocket as a result of which he died. pire his men and ensure continuous fire support to our troops, While he was in the gun position, an enemy shell hit uu In this action Lieutenant Colonel Anil Baran Guha dis- ammunition vehicle resulting in an explosion in which a played courage, leadership and devotion to duty. Junior Commissioned Officer was wounded. At great risk to his life, and undeterred by enemy shelling, he rushed to"
5,PATWITTAR SINGH TAKHAR,Lieutenant Colonel,"evacute the Junior Commissioned Officer. While doing JO, (IC-3830). The Armoured Corps. another shell exploded near him as a result of which he died. During the operations against Pakistan in December. 1971, In this action, Lieutenant Colonel Sukhdev Khullar dis- Lieutenant Colonel Pawittar Singh Takhar was commanding played courage, comradeship and devotion to duty. an Armoured Regiment in the Eastern Sector. On the 7th"
2,ASHOK MANGALIK,Lieutenant Colonel,"The Regiment of Artillery. as to split the enemy forces. This action was executed with great speed and took the enemy by surprise and forced him On the 5th/6th December, 1971, Lieutenant Colonel Ashok to abandon the position. The enemy counter-attacked this Mangalik who was commanding a Field Regiment was given position on the night of the 7th/8th December 1971 with the task of providing effective fire support during an attack armour and infantry. Under the inspiring leadership of Lt. for the elimination of the Dera Baba Nanak Enclave. With Col, Takhar, the attack was repulsed and heavy casualties complete disregard to his safety, he positioned himself at .i were inflicted on the enemy. On the 10th December, 1971 place which was subjected to intense artillery, mortar and Lieutenant Colonel Pawittar Singh Takhar successfully ma- small arms fire. Later, he moveJ around constantly to keep noeuvred the regiment in a wide outflanking move, thus in touch with the Brigade Commander for modification of fire entrapping a battalion group of the enemy occupyinR well plans to suit the changing tactical situations. coordinated defences and captured its complete transport, supporting artillery and tanks, besides large quantities of Throughout the attack, Lieutenant Colonel Ashok Manga- arms', ammunition and explosives. lik displayed courage, leadership and devotion to duty, Throughout, Lieutenant Colonel Pawittar Singh Takhar"
3,ANIL KUMAR STNHA,Lieutenant Colonel,The Regiment of Artillery.
6,PAHLAD TORO,Major,"During the operations against Pakistan in December, 197J, Lieutenant Colonel Anil Kumar Sinha was commandina a Major Pahlad Toro was the affiliated battery commander Mountain Regiment in the Eastern Sector. He ensured with an infantry battalion operating in the Shakargarh sector. effective artillery support to the troops throughout the opera- On the 15th December 1971, the battalion was given the lions. With utter disregard to his safety, he moved from task of establishing a bridge-head across the Basantar River. une location to another to ensure coordinated artillery siip- The objectives were captured but th? enemy reacted violently 11—481 GT/73 284 THE GAZETTE OF INDIA MARCH 9, 1974 (PHALGUNA 18, 1895) [PART I~SEC. 1 and on tho 16th and 17th December"
12,ASHOK RAJ KOCKHAR,Major,"vided effective artillery fire, which, along with the infantry mor- The Brigade of Guards. tars foiled all enemy attempts to re-capture the position. On the night of 5th/6th December, 1971 Major Ashok Raj In this action. Major Puhlad Toro displayed courage, initia- Kochhar who was commanding a company of a Battalion of tive and devotion to duty. the Brigade of Guards was assigned the task of attacking a well defended enemy post.in the Western Sector. During the attack,"
7,VIRENDRA KUMAR BHATNAGAR,Major,"(IC-8251), down the momentum of the assault. Major Kochhar changed 63rd Cavalry. the direction of the company's assault, completely surprising the enemy who fled from the position in confusion leaving Major Virendra Kumar Bhatnagar was commanding a behind large quantities of arms, ammunition and equipment. Squadron of the 63rd Cavalry during the advance from Daud- pur to Bhaduria in the Eastern Sector. On the 8th December In this action, Major Ashok Raj Kochhar displayed courage, 1971, while leading the advance, the squadron encountered stiff leadership find devotion to duty. resistance from an enemy infantry company supported by tanks and artillery at Bajitpur and Bhaduria. Major Bhat-"
13,SHF,Major,"nagar handled his squadron with competence and skill and on The Punjab Regiment. each occasion moved his troops boldly to encircle the enemy and forced him to withdraw. Tn the encounters, the enemy On the night of the 10th December 1971, Major Sher Singh suffered heavy casualties. Giewal was commanding a company of ft Battalion of the Punjab Regiment which was assigned the task of attacking an Throughout, Major Virendra Kumar Bhatnagar displayed enemy position in the Poonch Sector. Unmindful of the effec- courage, leadership and devotion to duty. tive enemy fire and inspitc of his own injury sustained during the action, he led his men with great determination and captur-"
8,RAM LAL VERMA,Major,"The Rajputana Rifles. In this action, Major Shor Singh Grewal displayed courage, When the defences occupied by a Battalion of the Rajputana determination, leadership and devotion to duty. Rifles in the Telikhali area in the Eastern Sector were subjected to repeated attacks by the enemy forces, Major Ram Lal"
14,NARAIN SINGH KOAK,Major,"Verma, commanding a Company, showed exemplary courage The Sikh Regiment. and leadership in moving about in the open from trench to trench to inspire his men to hold their ground. He also direct- On the 3rd December 1971, the enemy launched a company ed artillery fire with skill and accuracy and repulsed the enemy attack on a border post in the Amritsar Sector which was manned by an infantry platoon. Due to the shelling, the attacks. communications between the platoon and the company head- In this action, Major Ram Lal Vcrma displayed courage and quarters were disrupted. Major Narain Singh Koak promptly leadership. led a patrol of 10 men from the company headquarters to establish contact with the platoon position under intense artil-"
